imdbId,total_viewership,total_cost
tt0109830,34734598,190432453
tt0169547,50470477,177855951
tt0033467,88192264,201615303
tt0017136,31139963,298735921
tt0266697,72642325,195496574
tt0105695,74755785,219264759
tt0338013,55245801,273241940
tt0245712,2221945,224497779
tt0114746,84622861,258238360
tt0287467,71922560,280829056
tt0249462,26728288,131740041
tt0407304,2965548,288271541
tt0430357,66258654,168004571
tt0082971,37019945,290491026
tt0087469,52791638,182036130
tt0097576,46094702,209858891
tt0086960,33461124,185938903
tt0120591,83809698,199741253
tt0092644,77076946,155770467
tt0172495,66771319,281485527
tt0185125,60038570,232805865
tt0110413,86908207,221978506
tt0075314,120338,244504704
tt0130827,6593998,191681075
tt0088763,82745443,256075095
tt0208092,1598195,148256352
tt0108394,89294212,294633170
tt0111507,32657347,276112384
tt0111495,35093138,269348435
tt0086250,15547339,153806956
tt0243862,19185054,163416900
tt0100405,56942655,299381617
tt0118715,72427832,245161175
tt0094226,40119165,292359909
tt0190590,69030238,189782063
tt0107048,42357916,208115855
tt0275491,86373893,218379523
tt0246578,71708067,219815242
tt0388795,81378091,211873804
tt0093191,71452058,261856237
tt0190332,65690569,239788032
tt0053198,14887219,233088582
tt0083511,21203852,297482605
tt0079945,99000764,150682849
tt0335266,39064686,186770260
tt0084726,63064761,263079425
tt0088170,86707126,226259721
tt0054698,6535470,273617843
tt0096874,82069471,195446302
tt0092007,25813114,285832667
tt0098382,62380812,203017785
tt0102975,18883323,279197949
tt0095250,31391620,149244883
tt0109303,5416306,227182981
tt0181689,52306636,136988857
tt0425210,21080953,281136635
tt0458481,36470182,177381297
tt0111280,48942662,154638316
tt0211915,45186792,142568969
tt0099088,66572835,189870873
tt0112573,39568691,153107384
tt0117731,61863550,159186451
tt0120844,58846336,253636223
tt0253754,44538656,297094042
tt0070379,7881759,242873597
tt0046268,64675546,225310556
tt0097165,94364744,231325124
tt0053125,87667810,284727916
tt0071141,910848,244812282
tt0367882,16264261,141121444
tt0088247,81975886,214127861
tt0441909,25052501,289792037
tt0086066,1948192,157674427
tt0010323,28531314,296847531
tt0068646,41693444,139373728
tt0071562,37033037,133061271
tt0146882,24368550,131408764
tt0024216,43171303,247118278
tt0276751,44505440,229490738
tt0055312,96721719,235440805
tt0098621,89988971,204721995
