country	age	sex	life_sat	trust_people	conf_parliament
AND	60	2	10	2	1
AND	47	1	9	2	4
AND	48	1	9	2	3
AND	62	2	8	2	3
AND	49	1	7	2	2
AND	51	2	10	2	2
AND	33	2	5	2	4
AND	55	1	8	2	4
AND	40	2	8	2	3
AND	38	2	10	2	4
AND	54	1	8	2	2
AND	39	1	8	1	2
AND	44	2	10	2	4
AND	53	2	7	2	1
AND	43	2	10	2	2
AND	33	1	1	2	4
AND	21	1	8	2	3
AND	61	2	8	2	4
AND	47	2	8	2	2
AND	51	2	9	2	2
AND	43	2	10	2	3
AND	38	2	10	1	2
AND	30	2	9	2	4
AND	18	1	9	1	2
AND	18	2	7	2	3
AND	39	1	10	2	3
AND	63	2	9	2	3
AND	66	2	7	1	3
AND	48	2	9	2	2
AND	60	1	6	2	4
AND	60	2	9	1	2
AND	70	1	7	2	2
AND	66	1	6	2	3
AND	41	2	10	2	3
AND	43	1	7	2	3
AND	58	1	9	2	4
AND	51	1	9	1	3
AND	71	2	8	2	3
AND	51	1	6	1	3
AND	60	2	7	2	3
AND	54	2	5	2	4
AND	55	2	7	1	3
AND	53	1	7	1	3
AND	47	1	5	1	3
AND	43	1	7	1	-2
AND	47	2	6	1	3
AND	29	2	4	1	3
AND	29	2	8	1	2
AND	27	2	3	2	4
AND	66	2	5	2	4
AND	61	2	7	1	3
AND	27	2	5	2	4
AND	30	2	7	1	3
AND	49	1	7	2	2
AND	26	1	7	1	2
AND	41	2	7	2	3
AND	71	2	6	1	2
AND	58	2	8	1	3
AND	60	2	8	2	3
AND	37	1	8	1	3
AND	58	2	8	2	3
AND	32	1	8	1	3
AND	28	1	5	2	3
AND	48	1	8	2	3
AND	37	1	9	2	2
AND	35	2	7	1	3
AND	31	2	6	2	3
AND	47	2	9	1	3
AND	27	1	7	2	3
AND	57	2	7	1	2
AND	34	1	9	2	3
AND	55	2	7	2	4
AND	22	2	10	1	3
AND	55	2	5	2	2
AND	51	2	5	2	3
AND	86	2	9	1	1
AND	18	2	7	2	3
