participant_id	advert_variant	product_category	trait_openness	trait_conscientiousness	trait_extraversion	trait_agreeableness	trait_neuroticism	advert_attitude
6kjpj	treatment	accessories_tech	3.85416666666667	3.33333333333333	3.875	3.0625	2.72916666666667	4.364001289502285
1xhxi	control	social_events	3.4375	2.79166666666667	3.33333333333333	3.375	2.97916666666667	1.540136
om99f	control	productivity_apps	3.58333333333333	2.60416666666667	3.41666666666667	3.85416666666667	2.9375	2.384542
d1jx7	treatment	productivity_apps	3.64583333333333	3.58333333333333	3.25	3.41666666666667	1.91666666666667	3.988630976697375
0h7pe	treatment	productivity_apps	3.78666666666667	3.10416666666667	3.54708333333333	3.35416666666667	2.6875	3.111944126948889
sgayj	treatment	accessories_tech	3.41666666666667	3.5	2.89583333333333	2.75	2.8125	4.077104710565837
1e68g	control	accessories_tech	3.14583333333333	2.97916666666667	3.41666666666667	1.9375	2.70833333333333	2.251879
x1ic9	control	accessories_tech	3.5	3.97916666666667	3.0625	3.58333333333333	2.04166666666667	2.963733
ahd8k	treatment	travel_experiential	3.41666666666667	3.47916666666667	2.89583333333333	3.27083333333333	2.6875	4.945420968045196
r20ux	treatment	productivity_apps	3.58333333333333	2.97916666666667	3.66666666666667	2.85416666666667	3.1875	2.996276486700056
a2yyr	treatment	travel_experiential	3.95833333333333	3.02083333333333	3.77083333333333	3.41666666666667	2.1875	5.596758012900266
4vcwc	control	accessories_tech	3.25	3.64583333333333	3.52083333333333	3.35416666666667	2.375	3.357256
dop8n	treatment	social_events	4.0625	3.25	3.97916666666667	3.10416666666667	2.64583333333333	6.70481792543664
098rr	treatment	productivity_apps	3.58333333333333	2.9375	3.58333333333333	4.14583333333333	2.20833333333333	3.107548161705804
qbo4w	control	social_events	3.875	3.3125	3.54166666666667	3.85416666666667	2.5625	4.198145
ewcs6	treatment	productivity_apps	3.47916666666667	3.20833333333333	3.5625	3.31541666666667	2.875	3.0433255048254693
krs3u	treatment	travel_experiential	3.75	3.625	4.27083333333333	3.83333333333333	2.29166666666667	6.206875175309761
s0bsi	control	social_events	4.08333333333333	3.375	3.4375	2.52083333333333	4.08333333333333	2.839504
6jaty	treatment	travel_experiential	3.79166666666667	2.72916666666667	2.9375	2.95833333333333	3.14583333333333	2.92277317157282
wswqi	treatment	accessories_tech	4.08333333333333	3.39583333333333	3.27083333333333	4.08520833333333	2.04458333333333	5.473966270025023
dwsh5	control	travel_experiential	4.35416666666667	2.9375	3.6875	3.60416666666667	2.39583333333333	8.062925
2b1th	control	social_events	3.20833333333333	3.72916666666667	3.20833333333333	3.97916666666667	2.45833333333333	3.067247
0t6fn	treatment	social_events	3.75	3.41666666666667	3.54166666666667	3.47916666666667	2.39583333333333	4.458242547520486
yg8an	treatment	productivity_apps	3.22916666666667	2.8125	3.625	3.4375	2.75	2.309624718295449
zolag	control	productivity_apps	4.0	2.95833333333333	3.875	3.6875	2.4375	1.66364
6ga2g	control	travel_experiential	3.625	3.1875	3.64583333333333	3.4375	2.0625	6.613162
pc23b	treatment	travel_experiential	3.83333333333333	3.50041666666667	3.85416666666667	3.5625	3.25	6.667767560988726
e7jfn	control	productivity_apps	3.41666666666667	2.4375	3.39583333333333	3.125	2.97916666666667	1.525102
y9d94	treatment	social_events	3.91666666666667	3.41666666666667	3.58333333333333	3.875	2.875	5.3415079955745215
x7zhv	treatment	luxury_fashion	3.60416666666667	3.16666666666667	3.27083333333333	3.33333333333333	3.35416666666667	2.1768235447089808
jvq82	treatment	accessories_tech	3.27083333333333	3.60416666666667	3.33333333333333	3.5625	2.77083333333333	3.840313970616847
m3s4f	control	luxury_fashion	3.4375	2.5	3.29166666666667	3.70833333333333	2.52083333333333	1.687349
s7a4r	treatment	travel_experiential	3.1875	3.83333333333333	3.52083333333333	3.5	2.5	5.610267849821504
btodf	control	social_events	3.75	2.77083333333333	3.91666666666667	2.97916666666667	2.875	3.794554
ly90z	treatment	social_events	3.41666666666667	2.77083333333333	2.91666666666667	2.9375	3.22916666666667	3.7211029977552608
4kyp6	treatment	luxury_fashion	3.4375	3.70833333333333	3.72916666666667	3.66666666666667	2.02083333333333	4.76122138790408
08340	treatment	social_events	3.83333333333333	2.66666666666667	3.08333333333333	3.60416666666667	3.35416666666667	3.887568845556879
