title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
The Dare,movie,"Horror, Sci-Fi, Short",2021,tt33268380,,,"AR, BR, CL, CO, MX"
,tv,,2019,,,,"AT, CH, DE, FR, GB, IE, IT, US"
,tv,"Comedy, Documentary",2023,,,,AU
Prime Suspect 3,tv,"Crime, Drama, Mystery",1993,tt0106104,8.1,4308,"AU, CA, NO, US"
,tv,,1978,,,,"AU, CA, NO, US"
Jurassic World Dominion - Extended Version,movie,,2022,,,,"AU, US"
Boy,movie,Drama,2012,tt2445032,6.5,63,CA
"Red Christmas (From ""Descendants: The Rise of Red"")",movie,"Fantasy, Music, Family",2024,,,,CA
Bette,tv,Comedy,2000,tt0247079,6.5,897,CA
Breaker High,tv,Comedy,1997,tt0124934,7.2,1393,CA
Alan Carr: Chatty Man,tv,"Comedy, Talk-Show",2009,tt1468760,6,1179,CA
Further Tales of the City,tv,"Drama, Mystery, Romance",2001,tt0245625,7.6,1696,CA
,tv,,2020,,,,CA
Boy Boy Montréal,tv,Reality-TV,2021,tt15427452,7.3,14,CA
Children in the Woods,tv,"Drama, Mystery",2022,tt18245948,7.9,81,CA
,tv,Reality,2019,,,,CA
Is the Village Dying?,movie,Documentary,2013,tt3321574,,,"CA, US"
Bin Laden: The Road to 9/11,tv,Documentary,2021,tt15732854,7,84,"CA, US"
The Sanctuary: Survival Stories of the Alps,tv,Documentary,2019,tt10018754,8.7,96,"CA, US"
,tv,Documentary,2021,,,,"CA, US"
,tv,,2022,,,,"CA, US"
,tv,,2016,,,,"CA, US"
Zero,movie,"Crime, Drama, Science Fiction, Thriller",2021,,,,DE
Das Boot - Die komplette TV-Serie,tv,"Drama, War",1987,tt30970892,8.9,256,DE
,tv,,2020,,,,ES
,tv,,2017,,,,ES
,tv,,2017,,,,FR
A Personal Journey with Martin Scorsese Through American Movies,movie,"Biography, Documentary, History",1995,tt0112120,8.5,5241,GB
Rage,movie,Drama,1999,tt0215108,6,116,GB
The Mona Lisa Mystery,movie,Adventure,2006,tt0465721,7,38,GB
A Personal Journey with Martin Scorsese Through American Movies,movie,"Biography, Documentary, History",1995,tt0112120,8.5,5241,GB
Mission X,tv,Documentary,2002,tt0350431,,,GB
,tv,,2014,,,,GB
,tv,Documentary,2012,,,,GB
Stephen Hawking's Favorite Places,movie,Documentary,2016,,,,"GB, US"
,tv,Documentary,2018,,,,"GB, US"
John Wick - Titans of Cult Edition,movie,"Action, Crime",2014,,,,IN
Three Blind Mice,movie,"Comedy, Drama",2008,tt1239388,6.1,410,US
Teenage Millionaire,movie,"Comedy, Musical",1961,tt0056563,4.5,133,US
Women vs. Men,movie,Comedy,2002,tt0290018,5.2,474,US
The Glory Stompers,movie,"Action, Drama",1967,tt0061714,5,675,US
Revolt,movie,"Action, Crime, Drama",1986,tt3494858,4.3,64,US
This So-Called Disaster,movie,Documentary,2003,tt0308488,6.3,267,US
Emma's Wish,movie,"Comedy, Drama, Fantasy",1998,tt0162947,5.8,242,US
Blood Vows: The Story of a Mafia Wife,movie,"Crime, Drama",1987,tt0092674,6.5,444,US
Keeping Company,movie,Drama,1940,tt0033782,5.9,222,US
Gentle Ben 2: Black Gold,movie,"Drama, Family",2003,tt0315885,5.8,262,US
Bird Brain,movie,Documentary,2012,tt6403242,7.6,45,US
The Truth About Healthy Eating,movie,Documentary,2016,,,,US
Secrets at the Museum,movie,Thriller,2023,tt29344333,4.5,586,US
Halloween - A Volta de Michael Myers,movie,"Horror, Thriller",2024,,,,US
,tv,,2020,,,,US
,tv,Documentary,2023,,,,US
,tv,,2017,,,,US
,tv,"Documentary, War & Politics",2024,,,,US
,tv,,2019,,,,US
Forrest Gump,movie,"Drama, Romance",1994,tt0109830,8.8,2392180,
American Beauty,movie,Drama,1999,tt0169547,8.3,1252895,
Citizen Kane,movie,"Drama, Mystery",1941,tt0033467,8.3,483494,
Metropolis,movie,"Drama, Sci-Fi",1927,tt0017136,8.3,195466,
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1256354,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,456453,
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1141907,
Amores Perros,movie,"Drama, Thriller",2000,tt0245712,8,268527,
12 Monkeys,movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,665783,
Talk to Her,movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,120186,
Billy Elliot,movie,"Drama, Music",2000,tt0249462,7.7,148414,
War of the Worlds,movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.6,492358,
Miami Vice,movie,"Action, Crime, Drama",2006,tt0430357,6.1,127838,
Raiders of the Lost Ark,movie,"Action, Adventure",1981,tt0082971,8.4,1078948,
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,tt0087469,7.5,554208,
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,tt0097576,8.2,842018,
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984,tt0086960,7.4,225112,
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,467702,
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987,tt0092644,6.6,144060,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1769896,
All About My Mother,movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,107221,
Léon: The Professional,movie,"Action, Crime, Drama",1994,tt0110413,8.5,1308458,
Taxi Driver,movie,"Crime, Drama",1976,tt0075314,8.2,984438,
Run Lola Run,movie,"Action, Crime, Thriller",1998,tt0130827,7.6,213954,
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1385504,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,949826,
Three Colors: Blue,movie,"Drama, Music, Mystery",1993,tt0108394,7.8,115587,
Three Colors: White,movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,83235,
Three Colors: Red,movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,114168,
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,972064,
Italian for Beginners,movie,"Comedy, Drama, Romance",2000,tt0243862,7,14264,
Pretty Woman,movie,"Comedy, Romance",1990,tt0100405,7.1,388410,
The Big Lebowski,movie,"Comedy, Crime",1998,tt0118715,8.1,893830,
The Untouchables,movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,344908,
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000,tt0190590,7.7,342474,
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,719736,
Bad Education,movie,"Crime, Drama",2004,tt0275491,7.4,65057,
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,885777,
Brokeback Mountain,movie,"Drama, Romance",2005,tt0388795,7.7,403348,
Wings of Desire,movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,81237,
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,288875,
The 400 Blows,movie,"Crime, Drama",1959,tt0053198,8,131808,
48 Hrs.,movie,"Action, Comedy, Crime",1982,tt0083511,6.9,90121,
Star Trek: The Motion Picture,movie,"Adventure, Mystery, Sci-Fi",1979,tt0079945,6.4,99942,
Lost in Translation,movie,"Comedy, Drama",2003,tt0335266,7.7,512705,
Star Trek II: The Wrath of Khan,movie,"Action, Adventure, Sci-Fi",1982,tt0084726,7.7,133042,
Star Trek III: The Search for Spock,movie,"Action, Adventure, Sci-Fi",1984,tt0088170,6.6,88771,
Breakfast at Tiffany's,movie,"Comedy, Drama, Romance",1961,tt0054698,7.5,199397,
Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,600409,
Star Trek IV: The Voyage Home,movie,"Adventure, Comedy, Sci-Fi",1986,tt0092007,7.3,94420,
Star Trek V: The Final Frontier,movie,"Action, Adventure, Fantasy",1989,tt0098382,5.5,66308,
Star Trek VI: The Undiscovered Country,movie,"Action, Adventure, Sci-Fi",1991,tt0102975,7.2,83340,
The Big Blue,movie,"Adventure, Drama, Sport",1988,tt0095250,7.5,57088,
Blown Away,movie,"Action, Crime, Drama",1994,tt0109303,6.2,35475,
Minority Report,movie,"Action, Crime, Mystery",2002,tt0181689,7.6,604888,
Lucky Number Slevin,movie,"Crime, Drama, Thriller",2006,tt0425210,7.7,333492,
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014,tt0458481,6.5,175340,
Star Trek: Generations,movie,"Action, Adventure, Mystery",1994,tt0111280,6.6,89459,
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,821143,
Back to the Future Part III,movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,502592,
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1133520,
Star Trek: First Contact,movie,"Action, Adventure, Drama",1996,tt0117731,7.6,135401,
Star Trek: Insurrection,movie,"Action, Adventure, Sci-Fi",1998,tt0120844,6.4,81546,
Star Trek: Nemesis,movie,"Action, Adventure, Sci-Fi",2002,tt0253754,6.4,86190,
Mean Streets,movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,124498,
The Wages of Fear,movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,71050,
Dead Poets Society,movie,"Comedy, Drama",1989,tt0097165,8.1,595755,
North by Northwest,movie,"Adventure, Drama, Mystery",1959,tt0053125,8.3,361772,
Ali: Fear Eats the Soul,movie,"Drama, Romance",1974,tt0071141,8,25162,
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008,tt0367882,6.2,504484,
The Terminator,movie,"Action, Adventure, Sci-Fi",1984,tt0088247,8.1,969477,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,110582,
The Outsiders,movie,"Crime, Drama",1983,tt0086066,7,105095,
The Cabinet of Dr. Caligari,movie,"Horror, Mystery, Thriller",1920,tt0010323,8,73759,
The Godfather,movie,"Crime, Drama",1972,tt0068646,9.2,2137392,
The Godfather Part II,movie,"Crime, Drama",1974,tt0071562,9,1438042,
High Fidelity,movie,"Comedy, Drama, Music",2000,tt0146882,7.4,195614,
King Kong,movie,"Adventure, Horror",1933,tt0024216,7.9,93910,
About a Boy,movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,196458,
Pocketful of Miracles,movie,"Comedy, Drama",1961,tt0055312,7.1,8419,
The War of the Roses,movie,"Comedy, Romance",1989,tt0098621,6.8,59652,
In China They Eat Dogs,movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23945,
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,248685,
Willy Wonka & the Chocolate Factory,movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,237944,
Live and Let Die,movie,"Action, Adventure, Thriller",1973,tt0070328,6.7,120059,
King Kong,movie,"Action, Adventure, Romance",2005,tt0360717,7.2,460677,
Stolen Kisses,movie,"Comedy, Drama, Romance",1968,tt0062695,7.5,16024,
Antoine and Colette,movie,"Comedy, Drama, Romance",1962,tt1180329,7.5,6821,
Bed & Board,movie,"Comedy, Drama, Romance",1970,tt0065651,7.4,11161,
Love on the Run,movie,"Comedy, Drama, Romance",1979,tt0078771,7,7877,
Contempt,movie,"Drama, Romance",1963,tt0057345,7.4,37608,
Live Flesh,movie,Drama,1997,tt0118819,7.3,34872,
