ID	Gender	Age	Org_type	Role	info_work	info_org	info_vision	info_change	info_intracomm	info_mgmttrust	info_mgmttocow	info_cowtomgmt	org_openmind	org_intracommtrust	org_participation	org_gossip	org_discuss_mediaimage	org_discuss_news	org_discuss_meetings	org_email	org_discuss_socmedia	org_discuss_consumer	cow_com_dialogue	cow_com_criticism	cow_com_feedback	cow_com_checkinfo	cow_com_speakwell	rarversioncow_com_responsibility	extcomm	femcomm_performance	femcomm_mgmt	femcomm_opportunity	femcomm_support	femcomm_barriers	publicimage_competence	publicImage_responsibility	publicImage_openess	publicImage_efficiency	publicImage_credibility	publicImage_visibility	stakeholderimage_competence	stakeholderimage_responsibility	stakeholmderimage_openess	stakeholderimage_efficiency	stakeholderimage_credibility	stakeholderimage_visibility	mediaimage_correct	mediaimage_fair	mediaimage_nuance	socialmediaimage_correct	socialmediaimage_fair	socialmediaimage_nuance	mediaimage_feeling	mediaimage_workeffect	mediaimage_importance	mediaimage_reactions	mediaimage_fakenews
1	Female	1951.0	Private	Coworker									4.0	5.0	3.0	5.0	4.0	3.0	4.0	5.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0						5.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0				4.0	3.0	1.0	1.0	4.0
2	Male	1981.0	Private	Coworker	2.0	2.0	2.0	2.0	2.0	2.0	4.0	3.0	4.0	4.0	3.0	5.0	1.0	2.0	5.0	1.0	1.0	1.0	4.0	5.0	4.0	4.0	4.0	4.0							2.0	2.0	2.0	2.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	4.0	3.0	2.0	1.0	5.0
3	Female	1967.0	Private	Manager	2.0	4.0	5.0	2.0	2.0	4.0		1.0	2.0	4.0	2.0	1.0	5.0	5.0	2.0		4.0	4.0							5.0						5.0	4.0	4.0	2.0	4.0	3.0	5.0	5.0	5.0	4.0	4.0	5.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	5.0	5.0	5.0
4	Female	1956.0	Private	Coworker	5.0	5.0	4.0	5.0	4.0	5.0	1.0	1.0	4.0	5.0	4.0	4.0	4.0	3.0	4.0	5.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0						5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0				4.0	3.0	3.0	1.0	2.0
5	Female	1985.0	Private	Coworker	5.0	4.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0		3.0	1.0	2.0	2.0	4.0	4.0	4.0	4.0	5.0	5.0	3.0	5.0	4.0	4.0	4.0						4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0
6	Female	1964.0	Private	Coworker	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0		3.0	4.0	5.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0		5.0	5.0						5.0	5.0	5.0		5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0			5.0	4.0
7	Male	1979.0	Private	Coworker	4.0	4.0	4.0	3.0	3.0	5.0	1.0	1.0	3.0	5.0	4.0	3.0	2.0	2.0	4.0	1.0	1.0	5.0	4.0	4.0	3.0	5.0	5.0	2.0	3.0						4.0	4.0	2.0	4.0	3.0	2.0	5.0	5.0	4.0	5.0	5.0	4.0	2.0	3.0	2.0				2.0	3.0	3.0	2.0	4.0
8	Male	1959.0	Private	Coworker	5.0	4.0	5.0	4.0	3.0		4.0		2.0	3.0	3.0	3.0	5.0	5.0	2.0	5.0	5.0	5.0				5.0	4.0	5.0	5.0												5.0	5.0	5.0	5.0	5.0	3.0	4.0		3.0	4.0		3.0	4.0	3.0	5.0	5.0	4.0
9	Male	1956.0	Private	Coworker	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	3.0	2.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0						5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0
10	Female	1971.0	Private	Communicator or equivalent 	2.0	2.0	5.0	4.0	2.0	4.0	4.0	4.0	3.0	5.0	2.0	5.0	5.0	4.0	2.0	2.0	3.0	4.0	4.0	4.0	2.0	5.0	5.0	4.0	5.0	2.0	4.0				2.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	5.0	4.0				4.0	5.0	5.0	5.0	5.0
