respondent_type	respondent_id	age_group	gender	employment	municipality_type	school_size	region	music_teaching_experience	music_hours_week	education_detail	education_group	answers_lp12	answers_lp36	instrument_studies	singing_studies	music_theory_studies	choir_courses	band_ensemble_courses	music_school_studies	conservatory_or_uas_studies	liberal_adult_education_studies	music_in_free_time	leads_voluntary_music_activity	curriculum_familiarity	resources_sufficient	likes_teaching_music	needs_didactic_development	lp12_sing_group	lp12_positive_relation	lp12_natural_voice	lp12_move_to_music	lp12_positive_musical_self	lp12_act_responsibly	lp12_group_music_making	lp12_explore_musical_heritage	lp12_soundscapes_and_concepts	lp12_musical_diversity	lp12_notation_principles	lp12_play_group	lp12_goals_and_practice	lp12_create_and_improvise	lp36_sing_group	lp36_group_cohesion	lp36_positive_relation	lp36_group_music_making	lp36_natural_voice	lp36_positive_musical_self	lp36_play_group	lp36_concepts_and_notation	lp36_wellbeing_and_safe_sound	lp36_listen_analyze_describe	lp36_goals_practice_evaluate	lp36_move_to_music	lp36_embodied_expression	lp36_analyze_diversity	lp36_create_and_improvise	lp36_create_with_digital_tools	principal_resources_sufficient	activity_expanded_hours	activity_split_class	activity_orchestra	activity_band	activity_choir	activity_students_attend_external_concerts	activity_school_concerts	activity_music_study_visits	external_music_partner	special_music_education
teacher	T001	50-59	woman	permanent	urban	100-299	Southwest Finland	over 20	1-2	class teacher: older 15-credit minor	Class teacher, compulsory + at least one course	1	1	0	1	0	1	0	0	0	0	1	0	4	1	5	0	4	4	3	3	4	4	3	3	3	2	2	3	3	2	5	4	3	3	3	4	5	5	3	3	4	3	3	3	3	2											
teacher	T002	50-59	man	permanent	rural	100-299	Ostrobothnia	5-10	over 20	class teacher: newer 25-ECTS minor	Class teacher, compulsory + at least one course	0	1	0	0	0	0	0	1	0	0	1	0	3	1	4	1															4	4	4	4	3	3	3	4	2	3	2	3	2	2	2	2											
teacher	T003	30-39	woman	permanent	rural	50-99	Uusimaa	5-10	1-2	class teacher: compulsory plus elective course	Class teacher, compulsory + at least one course	1	1	0	0	0	0	1	0	0	0	0	0	2	3	4	0	2	3	3	3	2	1	1	2	2	3	2	1	1	1	3	4	2	3	3	1	3	3	2	3	2	2	3	2	1	3											
teacher	T004	50-59	woman	permanent	rural	100-299	Ostrobothnia	under 5	1-2	class teacher: compulsory music didactics	Class teacher, compulsory studies	1	1	0	0	0	0	1	1	0	0	1	0	3	5	5	0	4	3	3	3	4	4	3	3	2	3	2	1	1	1	4	4	3	5	3	4	5	3	3	2	3	4	3	2	3	2											
teacher	T005	30-39	man	permanent	rural	50-99	Uusimaa	over 20	1-2	class teacher: compulsory music didactics	Class teacher, compulsory studies	1	0	1	0	1	0	1	1	0	0	1	1	3	3	4	1	2	2	3	2	3	3	3	4	2	3	1	1	2	2																											
teacher	T006	30-39	woman	permanent	urban	100-299	Ostrobothnia	11-15	1-2	class teacher: compulsory music didactics	Class teacher, compulsory studies	1	0	0	1	1	0	0	1	0	0	1	0	4	2	4	0	2	3	1	1	2	3	1	1	3	1	1	1	1	1																											
teacher	T007	50-59	woman	permanent	urban	100-299	Ostrobothnia	16-20	3-5	class teacher: compulsory music didactics	Class teacher, compulsory studies	1	1	1	1	1	0	1	1	0	0	1	0	3	4	4	0	5	4	4	5	3	5	5	4	3	4	5	5	3	3	4	4	4	4	3	4	4	3	4	3	2	2	3	3	2	2											
teacher	T008	50-59	woman	permanent	rural	300-499	Uusimaa	5-10	6-10	class teacher: compulsory music didactics	Class teacher, compulsory studies	0	1	1	0	0	0	1	0	0	0	0	1	4	2	4	0															4	4	3	4	4	3	3	3	3	1	4	3	1	1	5	2											
teacher	T009	40-49	man	permanent	semi-urban	under 50	Uusimaa	under 5	3-5	class teacher: older 15-credit minor	Class teacher, compulsory + at least one course	1	1	0	1	0	0	0	0	0	0	1	0	2	2	2	1	5	4	3	3	3	4	3	2	3	3	4	4	2	2	2	3	3	1	2	3	3	2	2	1	1	2	2	3	2	2											
teacher	T010	over 60	woman	fixed-term	semi-urban	50-99	Uusimaa	over 20	6-10	neither class nor subject teacher	Neither class nor subject teacher	0	1	0	0	0	0	0	0	0	0	0	0	3	1	2	0															3	4	3	3	3	2	3	2	1	2	2	2	1	2	2	2											
