age_group	grade_level	gender	att_fun_exciting	att_valuable_use_of_time	att_feel_good_about_self	sn_parent_guardian_approval	sn_friend_approval	sn_teacher_encouragement	pbc_confident_can_learn	pbc_enough_spare_time	pbc_instrument_access	bi_plan_next_6_months	bi_try_best_to_learn_soon	bi_want_to_start_school_year
11 years	Grade 4	Boy	4	3	2	5	3	4	3	3	3	2	4	2
11 years	Grade 5	Girl	2	3	3	1	1	1	1	2	1	2	1	2
11 years	Grade 5	Girl	5	5	4	5	2	4	1	2	1	5	5	5
12 years	Grade 6	Non-binary	4	4	4	4	5	4	2	3	1	5	5	5
12 years	Grade 4	Boy	2	4	4	2	2	3	1	3	2	4	4	5
10 years	Grade 4	Boy	2	1	2	3	3	1	4	4	3	5	5	5
12 years	Grade 6	Girl	2	3	3	4	3	4	5	5	4	3	4	5
11 years	Grade 5	Boy	3	4	5	5	5	4	4	4	1	3	1	2
11 years	Grade 5	Boy	4	4	4	4	4	4	3	2	2	1	3	3
13 years	Grade 6	Girl	3	2	3	2	1	1	3	2	2	2	1	1
12 years	Grade 6	Girl	3	3	2	1	2	2	3	3	2	2	3	3
11 years	Grade 4	Boy	5	3	3	2	1	3	3	1	3	2	2	2
10 years	Grade 4	Boy	3	2	3	4	4	4	3	2	3	5	5	4
10 years	Grade 4	Girl	4	5	3	1	1	2	5	5	3	1	3	1
11 years	Grade 4	Girl	3	3	4	3	2	2	1	1	4	2	2	4
11 years	Grade 5	Girl	3	2	2	3	3	3	1	1	2	1	1	1
13 years	Grade 6	Girl	4	3	4	3	3	5	1	1	2	3	3	2
11 years	Grade 5	Boy	3	2	2	5	3	4	3	3	3	5	5	4
11 years	Grade 5	Boy	4	2	2	2	2	2	4	3	2	3	4	4
10 years	Grade 4	Girl	4	2	3	2	2	1	1	2	1	2	4	3
11 years	Grade 5	Girl	3	3	2	2	2	3	3	2	2	1	1	2
11 years	Grade 5	Boy	1	1	1	1	1	1	5	4	4	5	3	5
10 years	Grade 4	Boy	4	5	4	2	3	3	2	2	2	1	2	1
11 years	Grade 5	Boy	3	5	3	5	5	5	2	1	1	3	4	3
10 years	Grade 4	Boy	4	3	4	1	1	1	4	3	3	1	1	1
12 years	Grade 6	Boy	3	3	2	3	4	4	2	3	5	5	5	3
12 years	Grade 5	Boy	5	4	5	1	2	3	3	2	2	4	3	2
11 years	Grade 6	Boy	5	5	4	3	1	1	3	3	3	4	2	3
12 years	Grade 6	Girl	3	1	3	3	3	3	4	4	2	1	3	1
11 years	Grade 4	Girl	5	5	4	4	3	2	1	1	2	2	5	3
11 years	Grade 5	Girl	5	4	2	5	3	5	3	3	3	4	3	4
10 years	Grade 4	Boy	3	4	3	4	3	5	2	4	3	2	1	2
11 years	Grade 5	Boy	1	1	2	2	2	2	2	2	1	3	4	4
13 years	Grade 6	Girl	2	2	2	4	5	5	5	4	5	2	3	3
12 years	Grade 6	Boy	2	3	1	3	4	5	3	2	4	3	2	3
10 years	Grade 4	Boy	5	4	4	1	2	3	2	1	1	4	4	4
12 years	Grade 6	Girl	4	4	3	3	4	4	2	2	4	4	4	4
12 years	Grade 6	Girl	3	1	2	3	1	3	3	4	4	3	3	5
12 years	Grade 6	Boy	4	4	4	3	3	5	4	3	3	1	1	1
13 years	Grade 6	Boy	1	1	3	2	2	2	4	3	2	1	1	1
11 years	Grade 5	Boy	3	3	4	4	4	3	3	2	3	3	4	3
10 years	Grade 4	Girl	5	3	5	5	5	3	2	3	3	4	4	5
12 years	Grade 5	Girl	3	4	2	3	3	3	1	3	4	2	2	4
11 years	Grade 5	Boy	1	1	1	5	3	5	3	3	4	3	3	3
10 years	Grade 4	Boy	2	2	4	3	4	3	4	5	3	3	1	3
11 years	Grade 5	Girl	5	5	4	4	3	4	3	3	3	2	3	2
12 years	Grade 6	Boy	3	4	4	3	3	2	1	3	3	2	3	1
12 years	Grade 6	Boy	3	3	5	1	2	3	3	4	4	1	3	2
11 years	Grade 4	Girl	4	3	3	5	5	4	4	5	3	4	3	4
11 years	Grade 5	Boy	2	1	1	3	3	3	2	3	2	1	4	2
10 years	Grade 4	Boy	4	3	2	1	1	1	2	3	4	2	2	1
12 years	Grade 6	Girl	3	4	4	5	5	4	1	2	2	5	5	4
12 years	Grade 5	Girl	1	2	3	2	1	1	3	5	5	4	5	2
11 years	Grade 5	Girl	2	3	3	5	5	5	2	4	3	4	4	2
12 years	Grade 6	Girl	2	3	2	5	5	5	2	4	3	3	2	2
11 years	Grade 5	Girl	1	1	1	1	2	2	1	1	1	2	2	1
13 years	Grade 6	Girl	2	2	3	1	1	1	4	2	1	2	1	1
10 years	Grade 4	Prefer not to say	3	3	2	3	2	3	4	5	5	4	4	4
11 years	Grade 5	Boy	3	2	3	2	2	2	1	1	1	3	3	2
11 years	Grade 4	Boy	2	4	4	5	4	3	4	4	4	4	3	4
11 years	Grade 6	Girl	1	2	2	5	5	5	1	1	1	3	5	5
13 years	Grade 5	Boy	3	3	3	3	3	4	3	1	1	4	4	3
11 years	Grade 5	Girl	3	2	3	4	2	3	1	2	1	3	5	4
13 years	Grade 6	Boy	3	4	3	4	4	3	5	3	4	4	5	5
