AGE [scale: age in months]	GENDER [nominal]	ATTSC1 [ordinal: school is boring]	ATTSC2 [ordinal: school is fun]	ATTSC3 [ordinal: school is the same day after day]	ATTSC4 [ordinal: teachers don't try hard enough]	ATTSC5 [ordinal: sorry when school's out]	ATTSC6 [ordinal: teachers always try to help us]	ATTSC7 [ordinal: like going to school]	ATTSC8 [ordinal: teachers are boring]	ATTSC9 [ordinal: would rather not be at school]	ATTSC10 [ordinal: teachers aren't interested in us kids]	SCMARK [scale: marks for your school]	SELF1 [ordinal: glad to be me]	APPSC1 [ordinal: like my body]	PHYSSC1 [ordinal: am good at sports]	ENGSC1 [ordinal: I get good marks in English]	PARSC1 [ordinal: don't like to be with parents]	PEERSC1 [ordinal: make friends easily]	MATHSC1 [ordinal: among the best in my class for maths]	SCHSC1 [ordinal: good marks in all subjects]	SELF2 [ordinal: would like to be someone else]	APPSC2 [ordinal: I'm good looking]	SCHSC2 [ordinal: often don't understand things at school]	PARSC2 [ordinal: find it easy to talk to my parents]	SELF3 [ordinal: happy with the way I live]	MATHSC2 [ordinal: teachers think I'm good at maths]	SELF4 [ordinal: I often feel worthless]	PHYSSC2 [ordinal: like to do sports]	SCHSC3 [ordinal: among th best in my class at all subjects]	PEERSC2 [ordinal: don't have many friends]	SELF5 [ordinal: have lot to be proud off]	ENGSC2 [ordinal: often don't understand things in English classes]	PARSC3 [ordinal: my parents don't like me]	APPSC3 [ordinal: don't like the way I look]	MATHSC3 [ordinal: good marks in maths]	SELF6 [ordinal: sometimes I think I can't do anything right]	PEERSC3 [ordinal: other kids like me]	APPSC4 [ordinal: have an attractive face]	SELF7 [ordinal: do most things right]	SCHSC4 [ordinal: teachers think I'm clever]	ENGSC3 [ordinal: among the best in my class at English]	PHYSSC3 [ordinal: not good t learning new games]	SELF8 [ordinal: I'm not as good as other kids]	PARSC4 [ordinal: have fun with my parents]	MATHSC4 [ordinal: often don't understand maths]	PHYSSC4 [ordinal: bad at sports]	ENGSC4 [ordinal: teachers think I'm good at English]	SELF9 [ordinal: I'd change a lot about myself if I could]	PEERSC4 [ordinal: other kids want me to be their friend]	ENGGRADE [scale: school grades English]	MATHGRAD [scale: school grades maths]	GPA [scale: grade point average]	DUMETH [scale: ethnicity]	FAMISC_1 [scale: SMEAN(FAMISCO)]	PAREDU_1 [scale: SMEAN(PAREDU)]	FILTER_$ [nominal: gender = 2 (FILTER)]	SCHTYPE [nominal: type of school]	CATHOLIC [nominal]	COE [nominal]	SCHOOLEN [ordinal: quality of school environment]
143	boy	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	disagree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	58.5	33.5	55.8	1	2	3	Not Selected	State	0	1	low
138	boy	agree strongly	agree strongly	agree strongly	disagree	disagree	agree strongly	disagree	agree strongly	agree strongly	agree strongly	9	agree strongly	een beetje waar	agree	disagree	disagree strongly	agree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree	agree strongly	agree strongly		agree strongly		disagree	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree	agree		52	34	58.7	1	2	4	Not Selected	State	0	1	low
132	girl	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	0	agree	een beetje waar	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree	disagree	disagree	disagree strongly	agree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	disagree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	55.94	34.06	43.25	1	2	6	Selected	Catholic	1	0	low
130	girl	agree	agree	agree	agree strongly	agree strongly	agree	agree	disagree	agree strongly	agree strongly	0	agree strongly	helemaal waar	disagree	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	52.5	37	52	1	4	2	Selected	State	0	1	low
128	girl	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	0	agree strongly	helemaal waar	disagree	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	64	41	59	1	8	7	Selected	State	0	1	low
136	girl	disagree strongly	agree strongly	agree	disagree	disagree strongly	agree strongly	agree strongly	agree	disagree	disagree strongly	7	agree	helemaal niet waar	disagree	agree	disagree	disagree	disagree strongly	disagree	agree	agree	agree strongly	agree strongly	agree strongly	disagree strongly	disagree	agree	disagree strongly	agree	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree	agree	agree	disagree strongly	agree	disagree strongly	disagree	disagree strongly	agree	disagree strongly	agree	disagree	disagree	78.5	49	64.7	1	4	4	Selected	State	0	1	low
125	boy	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	58.6	50.2	61.6	1	10	6	Not Selected	State	0	1	low
124	boy	agree	disagree strongly	agree strongly	disagree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	2	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	57.5	54	58	1	2	6	Not Selected	State	0	1	low
130	boy	agree	agree	agree	disagree	disagree strongly	agree	disagree	agree	agree strongly	agree	0	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree	disagree	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree	agree strongly	disagree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree	agree	agree strongly	disagree	disagree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	agree strongly	disagree strongly	73.7	57.7	69	1	6	6	Not Selected	State	0	1	low
126	boy	disagree	agree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	9	agree	helemaal niet waar	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	agree	agree	agree strongly	agree strongly	agree strongly	agree	disagree	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree	agree	agree strongly	agree	disagree	agree	disagree	disagree	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree	agree strongly	agree strongly	74.4	59.4	69.7	0	10	6	Not Selected	State	0	1	low
