sector	Job_Satisfaction	Organizational_Support	Job_Performance
a	5	1	3
b	4	2	3
a	5	3	4
b	6	2	4
a	4	3	2
a	4	4	3
a	6	5	7
a	5	3	4
b	3	3	3
b	5	3	5
b	3	1	2
a	3	3	3
a	4	3	4
a	1	6	2
a	2	3	1
b	3	3	3
a	3	3	2
a	4	1	3
b	3	4	3
a	2	4	2
b	6	4	6
b	4	2	2
a	4	5	4
a	2	1	1
b	3	4	3
a	4	6	5
b	2	2	2
a	5	2	3
b	3	3	2
a	4	2	3
b	3	1	2
b	7	3	5
b	4	2	2
a	3	4	2
b	5	2	4
a	2	5	3
b	4	2	2
a	1	3	1
b	2	4	2
a	4	1	3
b	5	3	4
a	4	5	4
a	4	1	2
b	4	3	3
b	2	3	2
b	3	4	3
a	3	1	2
a	5	1	3
b	4	4	4
a	2	3	2
b	4	3	3
a	3	3	3
a	3	2	3
a	5	3	4
b	5	3	4
a	5	2	3
a	3	5	4
b	4	4	3
b	4	1	3
a	5	4	5
b	3	2	2
b	4	4	3
b	3	4	2
a	2	2	1
a	5	4	5
b	6	4	4
b	4	4	4
b	5	5	5
b	5	3	3
b	3	2	2
b	4	2	3
a	6	2	3
b	4	3	3
b	6	3	5
b	1	3	1
a	5	4	5
a	4	3	3
b	4	5	3
b	4	3	3
a	1	7	2
a	4	4	3
a	4	2	3
a	6	2	4
a	3	4	3
b	3	3	3
b	3	4	3
b	5	4	4
a	4	3	4
b	3	2	2
b	5	1	2
a	4	2	3
b	5	4	5
b	3	3	2
a	4	1	2
b	3	3	3
b	2	3	2
b	4	2	3
a	4	3	4
a	4	3	3
a	4	2	2
