Year	Gender	Used_AI
2024	Male	1
2025	Female	1
2025	Female	0
2025	Female	1
2024	Female	0
2024	Female	0
2024	Female	0
2025	Female	0
2025	Male	1
2025	Male	0
2024	Male	1
2025	Female	1
2025	Female	0
2024	Male	1
2024	Female	0
2024	Female	0
2024	Male	0
2025	Female	0
2024	Female	1
2024	Male	0
2025	Female	0
2024	Male	0
2024	Female	0
2024	Female	1
2024	Female	0
2025	Male	1
2024	Female	0
2025	Female	0
2025	Male	1
2024	Female	0
2025	Male	1
2024	Female	0
2024	Male	0
2025	Male	0
2025	Male	0
2025	Female	0
2024	Male	1
2024	Female	1
2025	Male	1
2024	Male	1
2024	Female	0
2024	Female	0
2024	Male	0
2025	Female	1
2024	Female	0
2025	Female	0
2024	Male	1
2025	Male	0
2025	Female	0
2024	Male	1
2025	Female	0
2025	Female	0
2025	Female	1
2025	Female	0
2025	Female	0
2025	Male	0
2024	Female	0
2024	Male	0
2024	Male	0
2024	Female	0
2024	Female	1
2024	Female	0
2025	Female	0
2024	Male	0
2024	Male	1
2025	Female	0
2024	Male	1
2025	Male	1
2024	Male	1
2025	Male	1
2025	Male	0
2024	Male	0
2024	Male	1
2025	Male	0
2025	Female	0
2025	Male	0
2025	Male	1
2024	Female	0
2024	Male	0
2024	Female	0
2025	Female	1
2025	Male	1
2024	Male	0
2024	Female	0
2024	Female	0
2024	Male	0
2025	Female	1
2025	Male	0
2025	Female	0
2024	Male	0
2024	Female	0
2025	Female	0
2025	Female	1
2025	Female	0
2025	Male	1
2024	Male	0
2025	Male	0
2024	Male	0
2024	Female	0
2024	Male	0
2024	Male	0
2025	Female	0
2024	Female	1
2025	Female	0
2025	Female	0
2024	Male	0
2024	Male	0
2025	Female	0
2024	Female	0
2024	Male	0
2024	Female	1
2024	Male	1
2025	Male	1
2025	Female	0
2025	Female	0
2025	Female	1
2025	Male	0
2024	Female	0
2025	Male	1
2025	Male	0
2025	Female	0
2025	Female	0
2024	Female	0
2024	Female	0
2024	Female	0
