participant_id	advert_variant	product_category	trait_openness	trait_conscientiousness	trait_extraversion	trait_agreeableness	trait_neuroticism	advert_attitude
6kjpj	treatment	accessories_tech	3.85416666666667	3.33333333333333	3.875	3.0625	2.72916666666667	14.364001289502285
1xhxi	control	social_events	3.4375	2.79166666666667	3.33333333333333	3.375	2.97916666666667	11.540136
om99f	control	productivity_apps		2.60416666666667	3.41666666666667		2.9375	12.384542
d1jx7	treatment	productivity_apps	3.64583333333333	3.58333333333333	3.25	3.41666666666667	1.91666666666667	13.988630976697376
0h7pe	treatment	productivity_apps	3.78666666666667	3.10416666666667	3.54708333333333	3.35416666666667	2.6875	13.111944126948888
sgayj	treatment	accessories_tech	3.41666666666667	3.5	2.89583333333333	2.75	2.8125	14.077104710565838
1e68g	control	accessories_tech	3.14583333333333	2.97916666666667		1.9375	2.70833333333333	12.251879
x1ic9	control	accessories_tech	3.5	3.97916666666667	3.0625	3.58333333333333	2.04166666666667	12.963733
ahd8k	treatment	travel_experiential	3.41666666666667	3.47916666666667	2.89583333333333	3.27083333333333	2.6875	14.945420968045196
r20ux	treatment	productivity_apps	3.58333333333333	2.97916666666667	3.66666666666667	2.85416666666667	3.1875	12.996276486700056
a2yyr	treatment	travel_experiential	3.95833333333333	3.02083333333333	3.77083333333333	3.41666666666667	2.1875	15.596758012900267
4vcwc	control	accessories_tech	3.25	3.64583333333333	3.52083333333333	3.35416666666667	2.375	13.357256
dop8n	treatment	social_events	4.0625	3.25	3.97916666666667	3.10416666666667	2.64583333333333	16.70481792543664
098rr	treatment	productivity_apps	3.58333333333333	2.9375	3.58333333333333	4.14583333333333	2.20833333333333	13.107548161705804
qbo4w	control	social_events	3.875	3.3125	3.54166666666667	3.85416666666667	2.5625	14.198145
ewcs6	treatment	productivity_apps	3.47916666666667	3.20833333333333	3.5625	3.31541666666667	2.875	13.04332550482547
krs3u	treatment	travel_experiential	3.75	3.625	4.27083333333333	3.83333333333333	2.29166666666667	16.20687517530976
s0bsi	control	social_events	4.08333333333333	3.375	3.4375	2.52083333333333	4.08333333333333	12.839504
6jaty	treatment	travel_experiential	3.79166666666667	2.72916666666667		2.95833333333333	3.14583333333333	12.92277317157282
wswqi	treatment	accessories_tech	4.08333333333333	3.39583333333333	3.27083333333333	4.08520833333333	2.04458333333333	15.473966270025024
dwsh5	control	travel_experiential	4.35416666666667	2.9375	3.6875	3.60416666666667	2.39583333333333	18.062925
2b1th	control	social_events	3.20833333333333	3.72916666666667	3.20833333333333	3.97916666666667	2.45833333333333	
0t6fn	treatment	social_events	3.75	3.41666666666667	3.54166666666667	3.47916666666667	2.39583333333333	14.458242547520486
yg8an	treatment	productivity_apps	3.22916666666667	2.8125	3.625	3.4375	2.75	12.30962471829545
zolag	control	productivity_apps	4.0	2.95833333333333	3.875	3.6875	2.4375	11.663640000000001
6ga2g	control	travel_experiential	3.625	3.1875	3.64583333333333	3.4375	2.0625	16.613162
pc23b	treatment		3.83333333333333	3.50041666666667	3.85416666666667	3.5625	3.25	16.667767560988725
e7jfn	control	productivity_apps		2.4375	3.39583333333333	3.125	2.97916666666667	11.525102
y9d94	treatment	social_events	3.91666666666667	3.41666666666667	3.58333333333333	3.875	2.875	15.34150799557452
x7zhv	treatment		3.60416666666667	3.16666666666667	3.27083333333333	3.33333333333333	3.35416666666667	12.17682354470898
jvq82	treatment	accessories_tech	3.27083333333333	3.60416666666667		3.5625	2.77083333333333	13.840313970616847
m3s4f	control	luxury_fashion	3.4375			3.70833333333333	2.52083333333333	11.687349
s7a4r	treatment	travel_experiential	3.1875	3.83333333333333	3.52083333333333	3.5	2.5	15.610267849821504
btodf	control	social_events	3.75	2.77083333333333	3.91666666666667	2.97916666666667	2.875	13.794554
ly90z	treatment	social_events	3.41666666666667	2.77083333333333	2.91666666666667	2.9375	3.22916666666667	13.72110299775526
4kyp6	treatment	luxury_fashion	3.4375	3.70833333333333	3.72916666666667	3.66666666666667	2.02083333333333	14.76122138790408
08340	treatment	social_events	3.83333333333333	2.66666666666667	3.08333333333333	3.60416666666667	3.35416666666667	13.88756884555688
iisxc	control	luxury_fashion	4.08333333333333	3.375	2.79166666666667	3.41666666666667	3.95833333333333	
t79uo	treatment	social_events	3.54166666666667	3.35416666666667	4.16666666666667	3.64875	2.20833333333333	16.19260976936435
3zz0d	control	social_events	3.875	3.25	3.875	3.25	2.02083333333333	15.403366
h0rv8	treatment	accessories_tech	3.72916666666667	2.95833333333333	3.77083333333333	3.375	3.14583333333333	14.18908416438589
0f0v9	control	accessories_tech	3.66666666666667	3.52083333333333	3.5	3.64583333333333	2.95833333333333	13.527606
j13ur	control		3.85416666666667	3.39583333333333		3.5	2.375	13.746749
td7x6	treatment	luxury_fashion	3.47916666666667	3.9375		3.16666666666667	3.35416666666667	13.553866823670301
8taux	control	productivity_apps	3.70833333333333	3.52083333333333	2.625	3.29166666666667	3.02083333333333	14.217421
q5ih8	control	social_events	3.8125	3.41666666666667	3.16666666666667	3.14583333333333	3.29166666666667	12.052513
dzmr8	control	productivity_apps	3.89583333333333	3.29166666666667	3.77083333333333	3.3125	2.58333333333333	13.0452
ny4jq	treatment	social_events	3.89583333333333	3.72916666666667	3.6875	3.41666666666667	2.52083333333333	14.920010714213136
tgikq	control	productivity_apps	3.5625	3.33333333333333	3.47916666666667	3.47916666666667	2.77083333333333	11.961225
yf681	control	accessories_tech	3.39583333333333	3.1875	3.52083333333333	2.91666666666667	2.83333333333333	13.153233
38034	control	productivity_apps	3.85416666666667	3.70833333333333	4.08333333333333	4.20645833333333	2.20833333333333	12.577259999999999
jj3ov	control		3.56166666666667	3.16666666666667	3.52083333333333	3.8125	2.47916666666667	12.81189
h5gms	control	luxury_fashion	3.89583333333333	2.66666666666667	3.89583333333333	3.375	3.0625	13.74982
asg7x	treatment	productivity_apps	3.89583333333333	3.25	3.29166666666667	3.29166666666667		12.331798750720708
nz39q	control	productivity_apps	3.52083333333333	3.625	3.35416666666667	3.60416666666667	2.91666666666667	12.897337
3r0iq	treatment	accessories_tech	3.20833333333333	3.4375	3.64583333333333		2.58333333333333	15.38795484402512
pc5ab	control	productivity_apps	3.16666666666667	3.9375	3.39583333333333	2.85416666666667	2.04166666666667	13.496366
k2rrn	treatment	social_events	3.375	2.72916666666667	3.79166666666667	3.95833333333333	2.79166666666667	16.91636767733215
ps0db	treatment	accessories_tech	3.8125	2.4375	3.35416666666667	3.20833333333333	3.10416666666667	13.740868113402627
khuet	treatment	accessories_tech	4.0	3.41666666666667	3.91666666666667	3.75	2.16666666666667	17.069478809280355
urj85	control	travel_experiential	4.22916666666667	3.25	3.22916666666667	3.04166666666667	2.97833333333333	15.085224
z476l	control	productivity_apps	3.77083333333333	2.77083333333333	3.77083333333333	3.5625	3.0	11.454328
sgc9z	treatment	luxury_fashion	3.16666666666667	2.8125	3.02083333333333	3.29166666666667	1.9375	12.411150829900846
fbkt2	treatment	accessories_tech	3.97916666666667	3.64583333333333	2.5	3.85416666666667	2.79041666666667	13.818956031742113
l1099	control	social_events	3.45833333333333	2.93125	3.474375	3.50375	3.375	13.931465
keacj	treatment	luxury_fashion		2.8125	3.25	2.97916666666667	2.625	12.223015936614619
v26vj	control	productivity_apps	3.27083333333333	2.72916666666667	3.625	3.35416666666667	2.80041666666667	12.215468
w3a1d	treatment	productivity_apps		3.39583333333333	3.3125	3.27083333333333	2.33333333333333	13.498409701406437
v6rrt	control	accessories_tech		2.33333333333333	3.52083333333333	3.604375	4.10416666666667	12.702429
omxw2	control	accessories_tech		3.16666666666667	3.33333333333333	3.45833333333333	2.70833333333333	13.603116
y7h3c	treatment	social_events	3.72916666666667		3.22916666666667	3.70833333333333	2.29166666666667	14.273394888779318
ahfd3	treatment	accessories_tech	3.54166666666667	3.14583333333333	3.5625	3.45833333333333	2.35416666666667	14.424607526303195
53z3c	control	luxury_fashion	3.1875	3.10416666666667	2.79166666666667	3.22916666666667	3.5	23.505382938269346
lex6w	control	travel_experiential	3.33333333333333	3.5		3.02083333333333	2.77083333333333	14.910872000000001
rfcv7	control	accessories_tech	3.9375	3.9375	3.70833333333333	3.83333333333333	2.64583333333333	16.215439
62eaf	control	accessories_tech	3.4375	3.35416666666667	3.625	3.27083333333333	2.8125	15.496949
c0q96	treatment	accessories_tech	4.17604166666667	2.54166666666667	3.125		3.6875	13.346581662819407
x6bqn	treatment	luxury_fashion	2.89583333333333	3.375	3.45833333333333	3.45833333333333	2.625	12.84233406102303
7z32d	treatment	accessories_tech	2.89583333333333	3.29166666666667	2.83333333333333	3.5625	2.85416666666667	13.648158065495586
ln9j1	control	social_events	3.5	3.5625	3.5	3.16666666666667	2.45833333333333	13.771512
fyavi	treatment	productivity_apps		3.39583333333333	2.66666666666667	3.0625	2.8125	15.194487942807692
gs5w1	treatment	luxury_fashion	3.6875	2.91666666666667		3.39583333333333	2.58333333333333	13.113771012406783
w9uft	control	social_events	3.66666666666667	3.3125	3.10416666666667	3.54166666666667	2.70833333333333	12.550919
kg5jg	control	productivity_apps	4.125	3.14583333333333	3.14583333333333	3.4375	3.0625	14.992253
7vhtd	treatment	productivity_apps	3.91666666666667	1.8125	2.85416666666667	3.6875	3.60416666666667	14.459733369393902
kntkd	control	travel_experiential	3.66666666666667	3.08333333333333	3.375	3.25	3.54166666666667	13.787321
v9fx7	control	productivity_apps	3.625	3.0	3.5625	3.4375	2.91666666666667	12.144916
afz5t	treatment	productivity_apps	3.52083333333333	2.77083333333333	3.098125	3.4375	3.22916666666667	
w7ff1	treatment	travel_experiential		4.1875		3.4375		16.50504034765753
klr5x	control	travel_experiential	3.72916666666667	3.47916666666667	3.54166666666667	3.314375	2.60708333333333	16.22851
